Literature	Virginia Woolf
Literature	Jane Austen
Literature	Emily Dickinson
Literature	Murasaki Shikibu
Literature	Mary Shelley
Literature	Zora Neale Hurston
Literature	Ursula K. Le Guin
Art	Frida Kahlo
Art	Georgia O'Keeffe
Art	Yayoi Kusama
Art	Artemisia Gentileschi
Art	Kara Walker
Ideas	Simone de Beauvoir
Ideas	Marie Curie
Ideas	Ada Lovelace
Ideas	Mary Wollstonecraft
Ideas	Harriet Tubman
Fashion	Elsa Schiaparelli
Fashion	Rei Kawakubo
Fashion	Vivienne Westwood
Fashion	Miuccia Prada
Fashion	Virgil Abloh
Fashion	Alberta Ferretti
Fashion	Elsa Peretti
