Directors	Alfred Hitchcock
Directors	Stanley Kubrick
Directors	Akira Kurosawa
Directors	Ingmar Bergman
Directors	Jean-Luc Godard
Directors	Federico Fellini
Directors	Jean Renoir
Directors	Brian De Palma
Directors	Kathryn Bigelow
Movies	Citizen Kane
Movies	The Birth of a Nation
Movies	Battleship Potemkin
TVcreators	James L. Brooks
TVcreators	Garry Marshall
TVcreators	Steven Bochco
TVcreators	David Chase
TVcreators	David Simon
TVcreators	Matthew Weiner
TVcreators	Matt Groening
TVcreators	Jesse Armstrong
TVcreators	Mindy Kaling
Shows	The Twilight Zone
Shows	Star Trek
Shows	The Simpsons
Shows	The Sopranos
Shows	Seinfeld
Shows	60 Minutes
Shows	The Americans
Literature	Virgil
Literature	Dante Alighieri
Literature	Geoffrey Chaucer
Literature	William Shakespeare
Literature	Miguel de Cervantes
Literature	Pablo Neruda
Literature	Thomas Aquinas
Ideas	Aristotle
Ideas	Confucius
Ideas	Laozi
Ideas	Siddhartha Gautama (Buddha)
Ideas	Jesus of Nazareth
Ideas	Samuel Morse
Ideas	Simon Bolivar
Art	Michelangelo
Art	Raphael
Art	Caravaggio
Art	Rembrandt van Rijn
Art	Johannes Vermeer
Art	Barnett Newman
Art	Hayao Miyazaki
Dance	George Balanchine
Dance	Bob Fosse
Dance	Katherine Dunham
Dance	Jerome Robbins
Dance	Fred Astaire
Dance	Paul Taylor
Architects	Étienne-Louis Boullée
Architects	Claude Nicolas Ledoux
Architects	Karl Friedrich Schinkel
Architects	Sir Joseph Paxton
Architects	Viollet-le-Duc
Architects	Henry Hobson Richardson
Architects	Frank Lloyd Wright
Architects	Ludwig Mies van der Rohe
Architects	Louis Kahn
Fashion	Charles Frederick Worth
Fashion	Paul Poiret
Fashion	Lucile
Fashion	Coco Chanel
Fashion	Christian Dior
Fashion	Cristóbal Balenciaga
Fashion	Ralph Lauren
Fashion	Issey Miyake
Fashion	Marc Jacobs
